date,Phoenix Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Baltimore Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Philadelphia Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Phoenix Count_Person,Baltimore Count_Person,Philadelphia Count_Person,Phoenix Count_Person_BelowPovertyLevelInThePast12Months,Baltimore Count_Person_BelowPovertyLevelInThePast12Months,Philadelphia Count_Person_BelowPovertyLevelInThePast12Months,Phoenix UnemploymentRate_Person,Baltimore UnemploymentRate_Person,Philadelphia UnemploymentRate_Person,Phoenix Median_Income_Household,Baltimore Median_Income_Household,Philadelphia Median_Income_Household
1990,,,,988983,736014,1585577,,,,,,,,,
1991,,,,992511,734935,1581340,,,,,,,,,
1992,,,,1011844,732135,1565788,,,,,,,,,
1993,,,,1036346,724671,1548998,,,,,,,,,
1994,,,,1099274,701377,1519562,,,,,,,,,
1995,,,,1134537,687287,1496334,,,,,,,,,
1996,,,,1159545,671828,1471593,,,,,,,,,
1997,,,,1183000,657604,1451652,,,,,,,,,
1998,,,,1199173,645664,1434968,,,,,,,,,
1999,,,,1211466,632681,1417601,,,,,,,,,
2000,,,,1327196,648746,1513674,,,,,,,,,
2001,,,,1349484,638700,1500165,,,,,,,,,
2002,,,,1374040,630367,1488689,,,,,,,,,
2003,,,,1396909,623567,1479323,,,,,,,,,
2004,,,,1429575,614564,1473598,,,,,,,,,
2005,,,,1477400,610068,1466715,,,,,,,,,
2006,,,,1518701,607864,1459427,,,,,,,,,
2007,,,,1546544,606006,1458905,,,,,,,,,
2008,,,,1578786,603758,1459979,,,,,,,,,
2009,,,,1600518,601984,1469192,,,,,,,,,
2010,,,,1448998,620942,1528303,,,,,,,,,
2011,,,,1469770,620493,1540615,290880,133872,376556,,,,48596,40100,36957
2012,232619,106833,227799,1499250,623035,1552087,314565,139915,389332,,,,47866,40803,37016
2013,240373,110836,237864,1526505,622591,1558713,331487,142162,395789,,,,47139,41385,37192
2014,246202,115421,247526,1555485,623833,1565949,341481,144849,401219,,,,46881,41819,37460
2015,253950,120562,260227,1583760,622831,1571679,346286,141654,399352,,,,47326,42241,38253
2016,267960,125423,272786,1612303,616542,1576604,343359,137964,392356,,,,49328,44262,39770
2017,276333,129363,284836,1633704,610853,1581699,325358,133793,393924,,,,52080,46641,40649
2018,288481,132615,303976,1655082,603241,1586422,308821,128829,380873,,,,54765,48840,43744
2019,299849,135188,318691,1682933,594601,1584439,290034,124436,373727,,,,57459,50379,45927
2020,314793,138515,338030,1611345,583132,1601005,264738,116258,354832,,,,60914,52164,49127
2021,,,,1624569,576498,1576251,,,,,,,,,
1990-01,,,,,,,,,,5,7.7,6,,,
1990-02,,,,,,,,,,4.7,7.1,6,,,
1990-03,,,,,,,,,,4.7,6.6,5.8,,,
1990-04,,,,,,,,,,4.7,6.5,6,,,
1990-05,,,,,,,,,,4.6,6.9,6.2,,,
1990-06,,,,,,,,,,4.9,7.5,6.4,,,
1990-07,,,,,,,,,,5,7.6,6.7,,,
1990-08,,,,,,,,,,4.9,7.8,6.3,,,
1990-09,,,,,,,,,,4.8,7.8,6.8,,,
1990-10,,,,,,,,,,4.5,7.8,6.9,,,
1990-11,,,,,,,,,,4.5,8.3,6.8,,,
1990-12,,,,,,,,,,4.4,8.2,6.7,,,
1991-01,,,,,,,,,,4.8,9.6,8,,,
1991-02,,,,,,,,,,4.6,10.4,8.4,,,
